=== Airports Without IATA Codes ===
ICAO,Name,City,Country
00AK,Lowell Field,Anchor Point,US
00AL,Epps Airpark,Harvest,US
00AZ,Cordes Airport,Cordes,US
00CA,Goldstone /Gts/ Airport,Barstow,US
00CL,Williams Ag Airport,Biggs,US
00CO,Cass Field,Briggsdale,US
00FA,Grass Patch Airport,Bushnell,US
00FL,River Oak Airport,Okeechobee,US
00GA,Lt World Airport,Lithonia,US
00ID,Delta Shores Airport,Clark Fork,US
00IL,Hammer Airport,Polo,US
00IS,Hayenga's Cant Find Farms Airport,Kings,US
00KS,Hayden Farm Airport,Gardner,US
00KY,Robbins Roost Airport,Stanford,US
00LS,Lejeune Airport,Esterwood,US
00MD,Slater Field,Federalsburg,US
00MN,Battle Lake Municipal Airport,Battle Lake,US
00MO,Cooper Flying Service Airport,Alba,US
00MT,Sands Ranch Airport,Havre,US
00NC,North Raleigh Airport,Louisburg,US
00NY,Weiss Airfield,West Bloomfield,US
00OH,Exit 3 Airport,Wauseon,US
00PN,Ferrell Field,Mercer,US
00PS,Thomas Field,Loysville,US
00SC,Flying O Airport,Sumter,US
00TN,Ragsdale Road Airport,Manchester,US
00TS,Alpine Range Airport,Everman,US
00TX,Delva Field,Van,US
00VA,Vaughan Airport,Alton,US
00VI,Groundhog Mountain Airport,Hillsville,US
00WA,Howell Airport,Longbranch,US
00WI,Northern Lite Airport,Waupaca,US
00WN,Hawks Run Airport,Asotin,US
00WV,Lazy J. Aerodrome,Beverly,US
00XS,L P Askew Farms Airport,O'Donnell,US
01AL,Ware Island Airport,Clanton,US
01CL,Swansboro Country Airport,Placerville,US
01FA,Rybolt Ranch Airport,Orlando,US
01FL,Cedar Knoll Flying Ranch Airport,Geneva,US
01GE,The Farm Airport,Wrightsville,US
01IA,Stender Airport,Maysville,US
01ID,Lava Hot Springs Airport,Lava Hot Springs,US
01II,Myers Field,Lizton,US
01IS,William E. Koenig Airport,Dow,US
01KS,Flying N Ranch Airport,Lost Springs,US
01LA,Barham Airport,Oak Ridge,US
01LL,Schumaier Restricted Landing Area,Pinckneyville,US
01LS,Country Breeze Airport,Slaughter,US
01MT,Crystal Lakes Resort Airport,Fortine,US
01NC,Topsail Airpark,Holly Ridge,US
01NE,Detour Airport,Wellfleet,US
01NH,Moore Airfield,Enfield,US
01NM,Champion Ranch Airport,Artesia,US
01NV,Lantana Ranch Airport,Yerington,US
01OK,Lawrence Airport,Eakly,US
01OR,Red & White Flying Service Airport,Silver Lake,US
01PN,Bierly(Personal Use) Airport,Bellefonte,US
01PS,Nort's Resort Airport,Meshoppen,US
01SC,York Airport,York,US
01TE,Smith Field,Forney,US
01TN,Colonial Air Park,Collierville,US
01TX,Mims Farm Ultralightport,Waxahachie,US
01UT,La Sal Junction Airport,La Sal,US
01VA,Pickles Airport,Berryville,US
01WI,Prehn Cranberry Company Airport,Tomah,US
01WY,Keyhole Airport,Moorcroft,US
02AK,Rustic Wilderness Airport,Willow,US
02AL,Bass Field,Foley,US
02AR,Three Rivers Airport,Little Rock,US
02AZ,Winchester Farm Airstrip,Willcox,US
02CD,Shannon Field,Clarksdale,US
02CL,Conover Air Lodge Airport,Frazier Park,US
02CO,Mc Cullough Airport,Monte Vista,US
02FA,Osborn Airfield,Groveland,US
02FL,Cuchens Airport,Defuniak Springs,US
02GA,Doug Bolton Field,Commerce,US
02GE,Etowah Fields Airport,Euharlee,US
02ID,Morgan Ranch Airport,Cascade,US
02II,King Ultralightport,Westfield,US
02IN,Diamond P. Field,Muncie,US
02KS,Jmj Landing Airport,St Marys,US
02ME,Nadeaus' Airfield,Acton,US
02MI,Fairplains Airpark,Greenville,US
02MN,Greenbush Municipal Airport,Greenbush,US
02MO,Troy Airpark,Troy,US
02MS,Watts Field,Rochdale,US
02MT,Barrett Field,Cascade,US
02MU,Timber Line Airpark,Cassville,US
02NE,Benes Service Airport,Valparaiso,US
02NV,Paiute Meadows Airport,Winnemucca,US
02OH,Zimmerman Airport,Fremont,US
02OI,Murtha Airport,Conneaut,US
02OR,Rowena Dell Airport,The Dalles,US
02PR,Cuylers Airport,Vega Baja,PR
02PS,Hughes Ultralightport,Tioga,US
02SC,Harpers Airport,Estill,US
02TN,Ellis Field,Murfreesboro,US
02TS,El Tesoro Ranch Airport,Charlotte,US
02TX,The Palms At Kitty Hawk Airport,New Home,US
02UT,Lucin Airport,Lucin,US
02VA,The Greenhouse Airport,Culpeper,US
02WA,Cawleys South Prairie Airport,South Prairie,US
02WI,Beer Airport,Hudson,US
02WN,Fowler Field,Tonasket,US
02XS,Seidel Ranch Airport,Elroy,US
03AZ,Thompson International Aviation Airport,Hereford,US
03CO,Kugel-Strong Airport,Platteville,US
03FA,Lake Persimmon Airstrip,Lake Placid,US
03FD,Tharpe Airport,Bonifay,US
03IA,East Field,Montezuma,US
03ID,Flying Y Ranch Airport,Council,US
03II,Davis Field Ultralightport,Mount Vernon,US
03IL,Wix Airport,Monee,US
03IN,Heinzman Airport,Arcadia,US
03KY,Flying H Farms Airport,Henderson,US
03MA,Hadley Airport,Hadley,US
03ME,Maple Ridge Airport,Harrison,US
03MN,Nauerth Land Ranch Airport,Lakefield,US
03MO,Cahoochie Airport,Urbana,US
03MT,Cascade Airport,Cascade,US
03MU,Mc Donnell Airport,Archie,US
03NC,Pilots Ridge Airport,Carolina Beach,US
03ND,Olafson Brothers Airport,Edinburg,US
03NE,Hyde Ranch Airport,Comstock,US
03NV,Llama Ranch Airport,Ruby Valley,US
03NY,Talmage Field,Riverhead,US
03OH,Gibbs Field,Fremont,US
03OK,Sahoma Lake Airport,Sapulpa,US
03OR,Powwatka Ridge Airport,Troy,US
03PS,Ziggy's Field,Bellefonte,US
03TA,Gay Hill Farm Airport,Gay Hill,US
03TE,Barronena Ranch Airport,Hebbronville,US
03UT,A Z Minerals Corporation Airport,Mexican Hat,US
03WA,Spangle Field,Spangle,US
03WI,Zink Airport,Berlin,US
03WN,Aerostone Ranch Airport,Goldendale,US
03XS,Creekside Airport,Mertzon,US
04AZ,Chinle Airport,Chinle,US
04CA,Gray Butte Field,Palmdale,US
04CL,Hunt's Sky Ranch Airport,Julian,US
04FA,Richards Field,Homestead,US
04FL,Cross Creek Farms Airport,Ormond,US
04IA,Middlekoop Airport,Packwood,US
04ID,Lanham Field,Emmett,US
04II,Turkey Run Airport,New Haven,US
04IL,Schertz Aerial Service - Hudson Airport,Hudson,US
04IS,Van Gorder Airport,Mansfield,US
04KY,Natchez Trace Farm Airport,Hiseville,US
04LL,Brunner Airport,West Dundee,US
04ME,Beech Hill Airport,Mercer,US
04MI,Rapids Airway Airport,Eaton Rapids,US
04MN,Helblad Airport,Kelliher,US
04MO,Airpark Private Airport,Vandalia,US
04MS,Nick's Flying Service Inc Airport,Rolling Fork,US
04MT,Pluhar Airport,Cohagen,US
04NE,Mc Connell Field Airport,Sarben,US
04NJ,Emmanuel Airport,Elmer,US
04NV,Kingston Ranch Airport,Sandy Valley,US
04NY,Klaverack Airport,Hudson,US
04OH,Bossow Airport,Garrettsville,US
04OR,Collins Landing Strip,Mitchell,US
04TN,Hensley Airpark,Chuckey,US
04TT,4D Ranch Airport,Utopia,US
04TX,Pocock Airport,China Spring,US
04UT,Navajo Mountain Airport,Navajo Mountain Trdng Post,US
04VG,Manquin Flight Park Ultralightport,Manquin,US
04VT,Lightning Bolt Field Airport,Cabot,US
04WA,Ox Meadows Airport,Spokane,US
04WI,Dutch Gap Airstrip,Bristol,US
04WN,Stillwater Creek Airport,Royal City,US
05AK,Wasilla Creek Airpark,Palmer,US
05AR,Ozark Skies Airpark,Kingston,US
05CL,Pope Valley Airport,Pope Valley,US
05CO,Rancho De Aereo Airport,Mead,US
05FA,Melanie's Airport,Florala,US
05FL,Charlton Strip,La Belle,US
05GA,Raju Airport,Richland,US
05IA,Spotts Field,Nora Springs,US
05ID,Running Creek Ranch Airport,Grangeville,US
05II,Reichhart Airport,New Haven,US
05IL,Classic Landings Airport,Bonfield,US
05IN,Cooper Airport,Belleville,US
05IS,Hardy Airport,Mount Auburn,US
05KS,Darbro Field,Elk City,US
05KY,Cartersville Airport,Berea,US
05LA,Greg's Flying Service Airport,Baskin,US
05LS,Grass Roots Airport,Alexandria,US
05MD,Breezecroft Airport,Chestertown,US
05ME,Drisko Airport,Jonesboro,US
05NE,Mc Kay Airport,Spalding,US
05OI,Dorlon Airpark,Columbia Station,US
05OK,Hawk Haven Airport,Crescent,US
05OR,6 Ranch Airport,Enterprise,US
05PS,Mills Brothers Airport,Burnt Cabins,US
05TA,Brandes Air Field,Sealy,US
05TE,Hilde-Griff Field,Georgetown,US
05TS,Dew Drop Airport,Justin,US
05TX,Circle 'A' Ranch Airport,Blum,US
05UT,Oljato Airport,Oljato,US
05VA,Providence Airport,Farmville,US
05WI,Ames Private Airport,Darien,US
05WN,Flat Creek Field,Kettle Falls,US
05XS,Johnson Memorial Airport,Wilmot,US
06AK,June Lake Airpark,Wasilla,US
06AR,Bondair Airport,Higden,US
06CO,Jecan Airport,Branson,US
06FA,William P Gwinn Airport,Jupiter,US
06FD,Grass Roots Airpark,Mascotte,US
06IA,Rich Field,Walford,US
06ID,Larkin Airport,Kuna,US
06IL,Humm Airport,Earlville,US
06IN,Ellis Fly-In Airport,Blackhawk,US
06IS,Sinele Strip,Nauvoo,US
06MN,Pike Field Airport,Virginia,US
06MO,Noahs Ark Airport,Waldron,US
06MT,Torgerson Airport,Ethridge,US
06NC,Tailwinds Airport,St. Pauls,US
06ND,Fitterer's Strip,Glen Ullin,US
06NH,Cole Farm Airport,Kensington,US
06NY,Murphy Field,Auburn,US
06OH,Hal Joy Airfield,Williamsfield,US
06OI,Green Acres Airport,New Lebanon,US
06OR,Hayden Mountain Airport,Forest Grove,US
06PA,Freefall Oz Airport,Ceres,US
06SN,Beyer Farm Airport,Derby,US
06TA,Glaser Field,Buckholts,US
06TE,Cavok Airpark,Cleveland,US
06TN,Hunter STOLport,Columbia,US
06TS,Roscoe Mc Connico Airport,Kerens,US
06TX,Diamond N Ranch Airport,Hockley,US
06VA,Mount Horeb Field,Grottoes,US
06WI,Young Private Airport,Frederic,US
06WN,Western Airpark,Yelm,US
06XS,Campbell Field,Aubrey,US
07AR,Morrilton Airport,Morrilton,US
07CL,Richvale Airport,Richvale,US
07CO,Comanche Creek Airport,Kiowa,US
07FA,Ocean Reef Club Airport,Key Largo,US
07FD,Flying G Ranch STOLport,Lee,US
07GA,Alcovy Airport,Covington,US
07ID,Interstate Airport,Malta,US
07IN,Gray Airport,Boggstown,US
07KS,Heape Field,Augusta,US
07KY,Blue Lick Airport,Louisville,US
07MD,Baugher's Orchard Airport,Westminster,US
07MI,Scott Airstrip,Lake,US
07MN,Dairyview Airport,Hadley,US
07MO,Lake Sexton Airport,Warrensburg,US
07MT,Glasgow Industrial Airport,Glasgow,US
07NC,Hawks Meadow Airport,Waxhaw,US
07OK,Pleasant Valley Airport,Snyder,US
07OR,Bruce's Airport,Milwaukie,US
07PN,Folmar Airport,Grassflat,US
07SN,Churchill Airport,Phillipsburg,US
07TA,Salaika Aviation Airport,Danbury,US
07TE,Cuddihy Field,Corpus Christi,US
07TN,Corntassel Airport,Vonore,US
07TS,Cross-Country Estates Airport,Georgetown,US
07UT,E Northrop Grumman Airport,Howell,US
07VA,Alpha Hotel Airport,Clover,US
07VT,Meadow STOLport,Jericho,US
07WI,Bartell Strip,Genessee Depot,US
08AK,Fisher Airport,Big Lake,US
08CL,Kistler Ranch Airport,Jamestown,US
08CO,Terra Firma Airport,Rush,US
08FA,Duda Airstrip,La Belle,US
08FD,Sunniland Ranch Airport,Okeechobee,US
08FL,J. H. Hendrie Farms Airport,Lake Placid,US
08GA,Sapelo Island Airport,Darien,US
08ID,Symms Airport,Marsing,US
08IL,Harms Airstrip,Tampico,US
08IS,Hemmer RLA Restricted Landing Area,Du Quoin,US
08KS,Alderson Airport,Bennington,US
08KY,Boss Airport,Burnside,US
08LL,Sauer Airport,Dwight,US
08LS,Aeleron Airport,Grand Coteau,US
08MA,Wormid Airport,Southborough,US
08ME,Lindbergh Airport,Avon,US
08MO,Twin Oaks Airport,Jasper,US
08MS,Midsouth Airpark,Coldwater,US
08MT,Matovich Airport,Grass Range,US
08NC,Whiteheart Farm Airport,Lewisville,US
08ND,Brecht Strip,Golden Valley,US
08NE,Laurel Municipal Airport,Laurel,US
08NY,Md1 Airport,Middletown,US
08OH,Kenley Airport,Hartford,US
08OK,Parks Airport,Wilburton,US
08OR,Saxon Sycan Airport,Silver Lake,US
08TE,B. J. Mc Combs Sisterdale Airport,Comfort,US
08TS,Puesta Del Sol Airport,La Gloria,US
08TX,Cross Wind Airport,Weatherford,US
08VA,Springwood Airstrip,Buchanan,US
08XS,Peterson Airport,Old Ocean,US
09AK,West Beaver Airport,Big Lake,US
09AZ,Stronghold Airport,St David,US
09CL,Alta Sierra Airport,Grass Valley,US
09CO,Cottonwood Field,Swink,US
09FA,Placid Lakes Airport,Lake Placid,US
09FD,Cheryl-Lane Landings Airport,Bushnell,US
09FL,Sunnybreeze Airport,Arcadia,US
09GA,Sunbelt Strip,Moultrie,US
09GE,Elliott Field,Dawsonville,US
09IA,Skydive Iowa Airport,Brooklyn,US
09ID,Taylor Ranch Landing Area Airport,Moscow,US
09II,Gibbons Field,Valeene,US
09IN,Gordon Airport,Columbia City,US
09KS,Coffman Airport,Wellsville,US
09LL,Pine Hill Airport,Capron,US
09MA,Kallander Field,Southborough,US
09ME,Perrotti Skyranch Airfield,Berwick,US
09MN,W Johnson Field,Hazel Run,US
09MO,Hogue Farm Airport,Willard,US
09NC,William Irving Lewis Airport,Broadway,US
09NE,Summer Hill Farm Airport,Bennington,US
09OK,Ragtime Aerodrome,Collinsville,US
09PA,Eagle Field,Port Matilda,US
09TA,Lazy G Bar Ranch Airport,Decatur,US
09TE,Running M Ranch Airport,Glen Rose,US
09TS,Pitcock Rosillos Mountain Ranch Airport,Marathon,US
09TX,Smokey Mtn Ranch Airport,Sheffield,US
09VA,Alum Ridge STOLport,Floyd,US
09WI,Parkway Farm Strip,Holmen,US
0AK0,Scotts Airport,North Pole,US
0AK1,Anderson Lake Airport,Wasilla,US
0AK2,Yentna Bend Strip,Willow,US
0AK3,Parker Lake Airport,Montana Creek,US
0AK5,Young Creek Airport,May Creek,US
0AK6,Victory Airport,Victory Bible Camp,US
0AK7,Bradley Lake Hydroelectri Project Airstrip,Homer,US
0AK9,Falcon Lake Strip,Point Mackenzie,US
0AL1,Resort Airport,Foley,US
0AL5,Flomaton Airport,Flomaton,US
0AL9,Wilson Creek Airport,Florence,US
0AR1,Hooterville South Airport,Centerville,US
0AR2,Mission Field-Marotti Memorial Airport,Crawfordsville,US
0AR3,Taylor's Air Strip,Deer,US
0AR7,Yancopin Airport,Watson,US
0AZ1,Taylor Field,Marana,US
0AZ2,Western Sky Airport,Salome,US
0AZ4,Flying Bucket Ranch Airport,Mobile,US
0AZ5,Castle Well Airport,Morristown,US
0CA0,Pom Wonderful Airstrip,Del Rey,US
0CA1,Northside Airpark,Santa Maria,US
0CA3,Crawford Airport,Santa Ynez,US
0CA4,Shepherd Ranch Airport,Santa Ynez,US
0CA5,Hoffman Private Airport,Santa Ysabel,US
0CA6,Emory Ranch Airport,Ocotillo,US
0CA8,Ward Ranch Airport,Aguanga,US
0CA9,Blech Ranch Airport,Shandon,US
0CD2,Foxx Valley Airport,Yoder,US
0CD5,Pinon Canyon Airport,Trinidad,US
0CD7,Fox Hole Airport,Lafayette,US
0CL0,Yosemite Hidden Lake Ranch Airport,Raymond,US
0CL1,Krey Field Airport,Adelanto,US
0CL3,John Nichol's Field Airport,Chula Vista,US
0CL6,Bohunk's Airpark,Lancaster,US
0CL8,Tera Ultralightport,Ridgecrest,US
0CO1,Dave's Airport,Louisville,US
0CO2,Buckhorn Ranch Airport,Crested Butte,US
0CO3,Greggs Nr 1 Airport,Bennett,US
0CO5,Chenoweth Airport,Last Chance,US
0CO6,Flying M & M Ranch Airport,Norwood,US
0CO8,Cartwheel Airport,Mead,US
0CO9,Van Treese Airport,Monte Vista,US
0FA1,Frierson Grove Airport,Arcadia,US
0FD0,Big 'G' Airport,Ormond Beach,US
0FD3,Dugger Field,Freeport,US
0FD5,Breezy Knoll Airport,Defuniak Springs,US
0FD9,Joy Farms Airport,Defuniak Springs,US
0FL0,Harper's Fly-In Ranch Airport,Clewiston,US
0FL1,Thompson Airfield,Branford,US
0FL6,Stanchester Airport,Lithia,US
0FL9,Mc Daniel Ranch Inc. Airport,Clewiston,US
0GA0,Halls Flying Ranch Airport,Hampton,US
0GA1,Mustang Field,Hartwell,US
0GA2,Airnautique Inc. Airport,Hartwell,US
0GA3,Ayresouth Airport,Temple,US
0GA4,Paradise Falls Airport,High Shoals,US
0GA6,Sunset Strip,Jersey,US
0GA7,Hickory Level Airfield,Temple,US
0GA8,Paso Fino Farm Airport,Valdosta,US
0GA9,Roberta Industrial Park Airport,Roberta,US
0GE0,Pinewood Airport,Douglasville,US
0GE1,Crystal Lake Airpark,Irwinville,US
0GE3,Lookout Mountain Airport,Trenton,US
0GE4,Pecan Patch Airstrip,Sunnyside,US
0GE5,Mountain Airpark,Cleveland,US
0GE7,Carpenter Airport,Appling,US
0GE9,Pegasus Ranch Airport,Rocky Ford,US
0IA3,Hawkeye Airport,Waterloo,US
0IA4,Sharar Field,Mediapolis,US
0IA5,Moore Private Airport,Millerton,US
0IA6,Rinehart Airport,Victor,US
0IA8,Hannen Airport,Center Point,US
0ID0,South Fork Ranch Airport,Featherville,US
0ID1,Ziggy's Airport,Filer,US
0ID2,Flying Joseph Ranch Airport,May,US
0ID3,Coyote Run Airport,Mountain Home,US
0ID4,Black Butte Ranch Airport,Shoshone,US
0ID5,Ez Lope Ranch Airport,Oreana,US
0ID7,Z X Ranch Airport,Murphy,US
0ID8,Pinnacle Airport,Grangeville,US
0II0,Chuck's Airport,Albany,US
0II1,Unsicker Airport,Bremen,US
0II2,Creighton Airport,Bremen,US
0II3,Miller Strip,Bunker Hill,US
0II5,Marshall Field,Chalmers,US
0II6,Kropf Airport,Goshen,US
0II7,Frost Field,Greenfield,US
0II8,Sutton's Field,Lowell,US
0II9,Winters Airport,Hall,US
0IL2,Griffin Airport,Alma,US
0IL3,Flying B Ranch Airport,Danville,US
0IL8,Walter Airport,De Kalb,US
0IL9,Jack W. Watson Airport,De Kalb,US
0IN1,Snider Field,Decker,US
0IN2,The Lazy K Airport,Tocsin,US
0IN3,Graves Landing Strip,Winamac,US
0IN4,Air Park Field,Woodburn,US
0IN5,Byrne Field,Byrneville,US
0IN9,Parrish Airport,Mount Vernon,US
0IS3,Cady Aerial RLA Restricted Landing Area,Deer Grove,US
0IS4,Dawson Farms Airport,Lovington,US
0KS0,J V Ranch Airport,Osage City,US
0KS2,Kellie Mann Airfield,Ottawa,US
0KS3,Camp Chippewa Airport,Ottawa,US
0KS4,Norris Airport,Lawrence,US
0KS6,Kendrigan Airport,Peck,US
0KS7,Mono Aircraft Airport,Cheney,US
0KS8,Pearce Field,Parsons,US
0KS9,Lmn 120 Airport,Douglas,US
0KY0,Owen Air Park,Owenton,US
0KY1,Arnemann Farms Airport,Franklin,US
0KY4,Cambron Field,Owensboro,US
0KY5,Boyce Wafer Farm Airport,Bowling Green,US
0KY7,Clinton-Hickman County Airport,Clinton,US
0KY8,Sky Airport,Manchester,US
0LA1,Double H Ranch Airport,Gonzales,US
0LA2,Don Babin-Private Airport,Gonzales,US
0LA3,Belcher Airpatch Airport,Belcher,US
0LA9,Rebel Field,Watson,US
0LL0,Kaufield Airport,Belvidere,US
0LL1,Jerseyville Aviation Inc Airport,Jerseyville,US
0LL2,Murk's Strip,St. Augustine,US
0LL3,Koenig Airport,Jerseyville,US
0LL4,Flaherty Field,La Salle,US
0LL5,Busboom RLA Restricted Landing Area,St Joseph,US
0LL6,Gord Airport,Sandwich,US
0LS0,Theriot Field,Thibodaux,US
0LS4,Buller's Airstrip,Bunkie,US
0LS5,Stafford Airport,Cankton,US
0LS6,Dufour Airport,Morrow,US
0LS7,Morgan Field,New Roads,US
0LS8,Lonesome Dove Airfield,Woodlawn,US
0LS9,Huenefeld Airport,Monroe,US
0MD1,Taylor Field,Sudlersville,US
0MD2,Squier Landing Airport,Cobb Island,US
0MD4,Pond View Private Airport,Chestertown,US
0MD6,Walters Airport,Mount Airy,US
0ME4,Peasley Field,Otis,US
0MI1,Sugar Springs Airport,Gladwin,US
0MI2,Stier Airstrip,Glennie,US
0MI3,Kelleys Airport,Grayling,US
0MI4,Lesterson Field,Gwinn,US
0MI6,Young's Airport,Hulbert,US
0MI8,Twin Lakes Airport,Lewiston,US
0MN1,Brinkman Airport,St. Peter,US
0MN5,Pankratz Airport,Springfield,US
0MN6,Matson Field,Spring Valley,US
0MN8,Keller Airport,Stillwater,US
0MO0,Ferros Ranch-Aero Airport,Clinton,US
0MO1,Flying G Airport,Creighton,US
0MO2,Short-N-Ruff Airport,Caledonia,US
0MO3,Arvin Ranch Airport,Drexel,US
0MO5,Joe D Lewis Airport,Edina,US
0MO6,Hall Airport,Edina,US
0MO8,Sloan's Airport,Elsberry,US
0MS0,Topton Air Estates Airport,Meridian,US
0MS1,Franklin Field,Meadville,US
0MS2,Morgan Field,Seminary,US
0MS5,Lewis Air Service Airport,Leland,US
0MS7,Hale Field,Pontotoc,US
0MS8,Catfish Point Airport,Benoit,US
0MS9,Shenandoah Valley Farms Airport,Houston,US
0MT1,Williams Field,Augusta,US
0MT4,Kimp Airport,Hamilton,US
0MT5,Cottonwood Airport,Laurel,US
0MT6,Hanson Airport,Marion,US
0MT7,Pinehurst Ranch Airport,Thompson Falls,US
0MT9,Lone Hawk Airport,White Fish,US
0MU0,Eagle Field,Ellington,US
0MU1,Sunderland Airport,Avilla,US
0MU4,Slaughter Airport,Marceline,US
0MU7,Lambs Field,Lone Jack,US
0MU8,Prince STOLport,Millersville,US
0NA1,Goerger Airport,Barney,US
0NA5,Sorlie Airport,Maddock,US
0NA9,Boyd's Turf Airport,Golva,US
0NC1,Bearwallow Farm Airport,Hendersonville,US
0NC7,Lindsay Airport,Madison,US
0NC8,Flying S Ranch Airport,Cleveland,US
0ND0,Gilbertson Field,Flora,US
0ND6,Schumacher Strip,Hague,US
0ND7,Saville Private Airport,Hazelton,US
0NE0,Merrihew Airport,Ashby,US
0NE1,Runner Landing Area Airport,Ashby,US
0NE2,Merry Airport,Ashby,US
0NE5,Newman Airport,Big Springs,US
0NE6,Frager Field,Fairfield,US
0NJ5,Fla-Net Airport,Netcong,US
0NJ6,Dix Field,Linwood,US
0NK0,Berdick Field,Cattaraugus,US
0NK1,Spring Brook Airport,Central Square,US
0NK2,Westwind Farm Airport,Charlton,US
0NK3,Seven Gullies Airport,Groveland,US
0NK6,Lapeer Flyer Airport,Marathon,US
0NK8,Rocky Reef Farm Airport,Attlebury,US
0NK9,Lakeview Airport,Chittenango,US
0NM0,Columbus Municipal Airport,Columbus,US
0NM7,Negrito Airstrip,Reserve,US
0NY0,Bennetts Airport,North Creek,US
0NY1,Russell Field,Northumberland,US
0NY3,Kermizian Airport,Ohio,US
0NY7,Murphys Landing Strip,Perth,US
0NY8,Wenskoski Field,Perth,US
0OH2,Jenkins Field,North Hampton,US
0OH6,Fry Field,Spring Valley,US
0OH7,Apple Airport,Piqua,US
0OH8,Fry Airport,Piqua,US
0OH9,Parknavy STOLport,Plain City,US
0OI2,Unger Field,Greenfield,US
0OI3,Galloway Airport,Sandusky,US
0OI4,Salt Box Airport,Hiram,US
0OI6,Victor's Landing Airport,Kingsville,US
0OI9,Hidden Quarry Airport,Lucasville,US
0OK0,Edmond Airport,Edmond,US
0OK1,Mckey Airport,Elmore City,US
0OK3,Mckinley Ranch Airport,Geary,US
0OK4,Rock Creek Farm Airport,Coal Gate,US
0OK5,Chappell Airport,Guthrie,US
0OK6,Ellis/Harvey Airport,Guthrie,US
0OK8,Cade's Airport,Covington,US
0OK9,Crystal Airport,Jennings,US
0OR3,Long Ranch Airport,Merrill,US
0OR5,East Oregon Cattle Co Airport,Eagle Point,US
0OR6,Rome Service Airport,Rome,US
0OR7,Marr Field,Monmouth,US
0OR8,Sutton on Rogue Airport,White City,US
0OR9,Hanel Field,Mount Hood,US
0PA0,Philadelphia Gliderport,Hilltown,US
0PA2,Haunstein Ultralightport,Shermans Dale,US
0PA3,Robbins Farm Airport,Troy,US
0PA4,Ecko Field,Hummelstown,US
0PA5,Fisher Airport,Franklin,US
0PA6,Hostetler Airport,Huntingdon,US
0PA7,Linvill Airport,Media,US
0PN0,Fletcher Airport,Sheakeyville,US
0PN2,Flying Acres Airport,Slippery Rock,US
0PN4,Kitner Airport,New Bloomfield,US
0PN5,Nichols Airport,Spartansburg,US
0PN6,Memmi Airport,Three Springs,US
0PN7,Drillmore Acres Airport,Newburg,US
0PN8,Shriver Airport,Titusville,US
0PN9,Paul Personal Use Airport,Titusville,US
0PS0,Frederick Airpark,Tylersburg,US
0PS3,Carsonville Airport,Carsonville,US
0PS4,Old Orchard Airport,Curwensville,US
0PS7,Harman Airport,Elizabethville,US
0SD0,Lenling Airport,Glencross,US
0SD1,Lodi Airport,Wakonda,US
0SD3,Bledsoe Ranch Airport,Hoover,US
0SD6,Oasis Ranch Airport,Philip,US
0SD7,Porch Ranch Airport,Wanblee,US
0SD8,Juhnke Airport,Vivian,US
0TA1,Buddy Harmel Airport,Halfway,US
0TA2,Smith Farms Airport,Halfway,US
0TA3,Tate Ranch Airport,Dryden,US
0TA4,Erco Field,Kaufman,US
0TA7,Alta Vista Ranch Airport,Marfa,US
0TA8,Womack Plantation Airport,Paris,US
0TE0,Robertson Ranch Airport,Comstock,US
0TE3,Buzz Field,Roaring Springs,US
0TE4,Hilltop Lakes Airport,Hilltop Lakes,US
0TE5,Santa Maria Ranch Airport,Laredo,US
0TE6,Gorman Airport,Gorman,US
0TE7,Lbj Ranch Airport,Johnson City,US
0TN0,R & S Buzzard Airport,Spring Hill,US
0TN2,Village Airport,Greenback,US
0TN5,Mc Donald Airport,Murfreesboro,US
0TN6,Riner Farm Airport,Norris,US
0TS0,Flower Mound Airport,Flower Mound,US
0TS1,Dooley Airport,Justin,US
0TS2,Ultralight International Ultralightport,Haslet,US
0TS4,Ullrich Airport,Ledbetter,US
0TS5,Bass Breeze Ranch Airport,Cleveland,US
0TS7,Flying U Airport,Mineral Wells,US
0TS8,Flying 'K' Ranch Ultralightport,Mercedes,US
0TS9,Jim Roach Field,Niederwald,US
0TX0,Nassau Bay Airport,Granbury,US
0TX1,Pecan Plantation Airport,Granbury,US
0TX5,Shiloh Airport,Flower Mound,US
0TX6,Elm Creek Airpark,Seguin,US
0TX7,Lazy K Acres Airport,Grapevine,US
0TX8,Jacobia Field,Greenville,US
0TX9,Card Aerodrome,Greenville,US
0VA1,Johnson Fox Field,Bedford,US
0VA2,Riverwood Airport,Iron Gate,US
0VA3,Hunt Airport,Manquin,US
0VA4,Worley Field,Rocky Mount,US
0VA5,Coffman Field,Richmond,US
0VA7,Flatrock Air Strip,Richmond,US
0VA8,Jayarz Airport,Mannboro,US
0VA9,Handy Strip,Gloucester Court House,US
0VI1,Brooklyn Airport,Manquin,US
0WA1,Dwight Field,Chehalis,US
0WA2,Curtis Airport,Curtis,US
0WI1,Mort's Landing Airport,Comstock,US
0WI2,Doering Farms Airfield,Monches,US
0WI4,Snow Crest Ranch Airport,Montello,US
0WI5,Crash In International Airport,Husher,US
0WI6,Simandl Field/Private Airport,Muskego,US
0WI7,With Wings And A Halo Airport,Neenah,US
0WI8,Oconomowoc Airport,Oconomowoc,US
0WI9,Mc Manus Hoonch-Na-Shee-Kaw Airport,Oregon,US
0WN0,Rucilla's Roost Airport,Sequim,US
